,review,label,tit_rev,bert_euclid_team,bert_cosine_team,flair_euclid_team,flair_cosine_team,tfidf_cos_preds,keywords_preds
0,Отличное приложение! Пользуюсь им уже давно и все устраивает!,iOS Platform,Сбербанк Отличное приложение! Пользуюсь им уже давно и все устраивает!,Развитие лояльности в МП СБОЛ,Развитие лояльности в МП СБОЛ,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,[]
1,Верните оповещение при снятии и поступлении денег на карту в смс!!! Очень неудобное нововведение!!! 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️,iOS Release Engineer;PUSH IOS,Отстой Верните оповещение при снятии и поступлении денег на карту в смс!!! Очень неудобное нововведение!!! 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️,Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,ЕФС.Платежи МП,СБОЛ. Классические переводы,"['СБОЛ. Классические переводы', 'Мессенджер', 'PUSH IOS']"
2,Выкидывает из приложения даже не успев зайти(((,iOS Platform,Не ожидала Выкидывает из приложения даже не успев зайти(((,iOS Platform,Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,iOS Platform,[]
3,Спасибо за комиссии. Теперь жене только наличкой и надобность в картах отпала.,Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,Жадность Спасибо за комиссии. Теперь жене только наличкой и надобность в картах отпала.,Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,СБОЛ. Классические переводы,Sberbank ID B2C,"['Sberbank ID B2C', 'Развитие лояльности в МП СБОЛ', 'СБОЛ. Классические переводы']"
4,"Нельзя посмотреть именно историю в мобильном приложении за определённый период, только выписку, если делать, а это неудобно. Приходится пролистывать много времени, чтобы отыскать в прошлом нужную операцию .",История операций;iOS Platform;ЕФС Выписки и справки. Mobile,"Переделайте историю операций Нельзя посмотреть именно историю в мобильном приложении за определённый период, только выписку, если делать, а это неудобно. Приходится пролистывать много времени, чтобы отыскать в прошлом нужную операцию .",История операций,История операций,Sberbank ID B2C,iOS Platform,История операций,['ЕФС Выписки и справки. Mobile']
5,"Как можно было в уведомления запихнуть рекламу? Я хочу чтобы мне приходила информация о транзакциях, а не реклама говнобонусов и говноакций, срочно уберите это или сделайте возможность отключить!",PUSH IOS;DBP.Витрины продаж,"Спам рекламы в уведомлениях! Как можно было в уведомления запихнуть рекламу? Я хочу чтобы мне приходила информация о транзакциях, а не реклама говнобонусов и говноакций, срочно уберите это или сделайте возможность отключить!",DBP.Витрины продаж,PUSH IOS,Sberbank ID B2C,PUSH IOS,PUSH IOS,"['DBP.Витрины продаж', 'PUSH IOS', 'Sberbank ID B2C']"
6,"Сбербанк, один из самых востребованных банков, супер обслуживание, максимум привелегий!!!",iOS Platform,"Отличный банк!!!! Сбербанк, один из самых востребованных банков, супер обслуживание, максимум привелегий!!!",Телеком,Телеком,Sberbank ID B2C,Sberbank ID B2C,iOS Platform,"['ЕФС. Страхование', 'Текстовый чат']"
7,"Зачем в приложении реализовано обновление баланса, если оно не работает?
Поправьте, пожалуйста",iOS Release Engineer;iOS Platform;PFM Бюджет,"Обновление баланса в приложении Зачем в приложении реализовано обновление баланса, если оно не работает?
Поправьте, пожалуйста",iOS Release Engineer,ВС.МП вклады,iOS Platform,iOS Release Engineer,iOS Platform,"['ВС.МП вклады', 'PFM Бюджет', 'iOS Release Engineer']"
8,Сливают Контакты мошенникам! Ужасный банк!,Data Driven App;DDA Profile;Редактируемый профиль клиента,Отстойное обслуживание!!! Сливают Контакты мошенникам! Ужасный банк!,DBP.Витрины продаж,DBP.Витрины продаж,Sberbank ID B2C,Мессенджер,iOS Platform,[]
9,Тормозит в последнее время конкретно,iOS Platform;iOS Release Engineer,Тормоз Тормозит в последнее время конкретно,Краудфандинг,ЕФС. Брокеридж. Мобайл,Sberbank ID B2C,iOS Platform,iOS Platform,['iOS Platform']
10,"В какой-то момент стало зависать при входе(iphone6). Переустановил , не помогло. Хотя у жены все Работает на таком же телефоне",iOS Release Engineer;iOS Platform,"В какой-то момент стало зависать при входе(iphone6) В какой-то момент стало зависать при входе(iphone6). Переустановил , не помогло. Хотя у жены все Работает на таком же телефоне",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,"['Global Navigation', 'iOS Platform']"
11,Перестал отображаться баланс через виджет(,iOS Platform;PFM Бюджет;Global Navigation,Денис Перестал отображаться баланс через виджет(,ВС.МП вклады,ВС.МП вклады,СБОЛ. Классические переводы,iOS Platform,Телеком,"['Телеком', 'ВС.МП вклады', 'PFM Бюджет']"
12,Сегодня показывает баланс месячной давности,PFM Бюджет,Старый баланс по карте Сегодня показывает баланс месячной давности,ВС.МП вклады,ВС.МП вклады,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"['ВС.МП вклады', 'PFM Бюджет', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
14,"Все хорошо, но брать комиссию за платежи ЖКХ(квартплата) при выплате акционерам супердиведентов в этом году(16 руб на акцию) верх бессовестности!!!С пенсионеров особенная наглость!!!Я так думаю!!!
С ув.",Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,"Сбербанк и его сервис платежей Все хорошо, но брать комиссию за платежи ЖКХ(квартплата) при выплате акционерам супердиведентов в этом году(16 руб на акцию) верх бессовестности!!!С пенсионеров особенная наглость!!!Я так думаю!!!
С ув.",Платежи. Штрафы,ЕФС.Автоплатежи,Sberbank ID B2C,ЕФС.Автоплатежи,Sberbank ID B2C,"['Sberbank ID B2C', 'ЕФС.Платежи МП', 'ЕФС.Автоплатежи']"
16,"Тупая система с комиссией за переводы. Я постоянно перевожу, и платить комиссию за перевод в вашем же банке я не буду. В Альфабанке этого нет. Перехожу на другой банк",Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,"Комиссия на переводы Тупая система с комиссией за переводы. Я постоянно перевожу, и платить комиссию за перевод в вашем же банке я не буду. В Альфабанке этого нет. Перехожу на другой банк",СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
18,"Неудобно теперь контролировать расходы и приход денег, смс было удобнее чем пуш уведомление",PFM Бюджет;PUSH IOS,"Отзыв Неудобно теперь контролировать расходы и приход денег, смс было удобнее чем пуш уведомление",Платежи. Штрафы,Платежи. Штрафы,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['PUSH IOS', 'Sberbank ID B2C', 'СБОЛ. Классические переводы']"
21,"Ребята, а может будете обратную совместимость поддерживать? Уже не первый случай, когда некоторый функционал приложения просто отваливается, при том в самый неподходящий момент, спасает только обновление. Не всегда есть возможность обновить сразу приложение.",iOS Platform;iOS Release Engineer,"Обратная совместимость в API Ребята, а может будете обратную совместимость поддерживать? Уже не первый случай, когда некоторый функционал приложения просто отваливается, при том в самый неподходящий момент, спасает только обновление. Не всегда есть возможность обновить сразу приложение.",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
22,"Почему берёте комиссию, ведь я плову online. Обкрадываете народ. Живу в Америке больше 20 лет и никогда за это не платила. Да и ещё чтоб вам отправить сообщение, надо пойти кучу нюансов. Будьте проще и люди к вам потянуться.",Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы;Текстовый чат;Мессенджер,"Комиссия Почему берёте комиссию, ведь я плову online. Обкрадываете народ. Живу в Америке больше 20 лет и никогда за это не платила. Да и ещё чтоб вам отправить сообщение, надо пойти кучу нюансов. Будьте проще и люди к вам потянуться.",Sberbank ID B2C,Sberbank ID B2C,Sberbank ID B2C,СБОЛ. Классические переводы,Sberbank ID B2C,"['Sberbank ID B2C', 'ЕФС.Автоплатежи', 'Платежи. Штрафы']"
24,"Дорогие разработчики! Что случилось! Третий день как прога зависает после запуска. Снес, переустановил - не помогло! iPhone SE 128 (Model MP882RU/A),  iOS 12.4.1 (16G102)",iOS Platform;iOS Release Engineer,"Зависает на 5-й секунде после запуска Дорогие разработчики! Что случилось! Третий день как прога зависает после запуска. Снес, переустановил - не помогло! iPhone SE 128 (Model MP882RU/A),  iOS 12.4.1 (16G102)",iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,['iOS Platform']
